model_uid,x,y,z
54b54b88be0c472e8bd5fc9bacd4a470,,,
43146bc5d3fe411188637863bc64fade,,,
b311d10cb9894a6db1dbdfed911c3c37,,,
ed5f0f81d9e144028ad0d91b1ae2da2b,,,
6f9df35a17494b5fa03f24bd64462f3b,,,
283539808aad4a618c9acd3d6c2ffcc1,,,
58ff25e5d1a548389369e35cba2e1b81,,,
ac3628478f6c4042a16e77d6753fa413,,,
70d3356991ff4b0d87eadc214c12b5ef,,,
673e3474c582434eab60687f56e7ab70,,,
97a53f0903494d509000b8e9f56aaf16,,,
8251eb62ac044f77a6b64b198f1f5fd1,,,
eb1260edd8e24678b6baf9e0dff13304,,,
ab841d5edb68457a99f1fbb6534cb382,,,
1a6460dd31ea4223961793aab42bb53e,,,
536712f214a44ed5a9a45abee1055ef1,,,
301f5dc1ce8847ac88af53d7a8330847,,,
52dab33092fb4666bb4a048c2716d8f6,,,
a7da2d51110d4242bf1e01a04a764e72,,,
3786596378cc481eba9c3d72ef9caf14,,,
ea3ad17c8904478ba5fc2243ff9fbba1,,,
de732d534c12472ca05812ff89b21426,,,
7d56a87d004c4ce48177a8345bd70710,,,
53151c5a3f354a359002f140a54e588a,,,
0d04711ead174db8b32a103cc7c49ff7,,,
14b820d348864c59827bdcd3708b5e8c,,,
6038b55999674a22b00dbeeff3bb6637,,,
30b0d6ede5c9436bb2f5ee1f6e668720,,,
4de5e01d5c46492bbc619a77e40409f6,,,
637d778d7c2845a2bbafdf924b8c7807,,,
dac4d902e9cf48418fc372ff91c0ee18,,,
1370b7e012ae427ca11c6ca0a7190871,,,
5f719b4dfff64f79b88c327db528a9af,,,
46029c10da9e48da81894fac35ee1546,,,
56cd831144d941efac5cd3184c7e5a4e,,,
fcad8c1f52ed432daf2e31379a3fa1b9,,,
0e2b78874f8341ccb8b66457b6b63fac,,,
d90e3ac774f34379b59305365ea77ef3,,,
d8a86703f43b45ce9b7177f392fd6809,,,
af23aa233b2d4f46ade3f6a3c4e2f561,,,
0193236416594a32bfbf530ecaf48075,,,
ce3911cf2bef48c08acd48610eac7656,,,
be1097ee532b47c29407f22fac9be7b0,,,
7ac3873f8eeb4b2d82ad2f16c6b5c688,,,
f24a7c9a1a9e4290a8fde7c82732bcaa,,,
38c5ccef610d43bb9dbc6ba7bf0b1f81,,,
bb776e09e59643f0babe0231b16378de,,,
53637bc9e6d046e0be76d3d0f6ed9ce0,,,
c2e090954e7f4ae98dba7ef28eafed25,,,
fa7e30e2473f4a64845aa75a5e240cea,,,
3de30ac47ad944708217ee4e06cd15a6,,,
1889d6a1b6ba45adb3e17d833af0d8f7,,,
a7879aa7e83f4bd8a9878e6bc28bb230,,,
57626ed78ab74ab2b0bfbab04a47ee9f,,,
2d58fe045fd74b1f88b12c5f6a425127,,,
80f490c3d3dc463da4423d4fa374078b,,,
a8872c5d2fed4288bc6b35c516c24198,,,
d51336022eec4ba49bcac29eb0871fa4,,,
9ba88f584c68454fa8a5dce03dc762d2,,,
f38ccd108a2549cfb2e4caa9c2d1fe45,,,
5395764fcc9c4ad689c00e785e48c03c,,,
54c5a5e45c274d70b57619df9879c9ce,,,
19160759a6cb44cf9cfc815c2dbafa0c,,,
81286861e2ba4fef89dca309cfd0c1b3,,,
cf6005949c0f44a9ad90961b9d0fe00d,,,
4e6a3e500fbe42478938f7a2fdf514d9,,,
6e3afaee44d04a268a9a3537f9411f4b,,,
159c37f74abc4d5e856d505e315c7765,,,
2a4cae09aa4e4a63b32aa244b1e38dde,,,
a890e5498d0f4f388ced88da3f6ddbef,,,
9ab87ffe92f744b1b0f11cf4511416ab,,,
43cf79013f114f0c854eecfb086fe8be,,,
5a9fb8b9a5f246b7a7a46c392f20c50f,,,
